标题,地区,位置,具体位置,均价,平方米每元/单位,总价,类型,面积,标签,室厅数,均价/平方米每元
尊悦台,南沙,大岗镇,广州市南沙区康宁路与荔湾路交叉路口往西约50米,14500, 元/㎡(均价),总价135(万/套),在售,建面 81-124㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室","14500,  元/㎡(均价)"
颐德湾尚,南沙,明珠湾,建设一路（南沙体育馆北侧）,30000, 元/㎡(均价),总价400-770(万/套),在售,建面 142-265㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","30000,  元/㎡(均价)"
颐德湾尚,南沙,明珠湾,建设一路（南沙体育馆北侧）,价格待定,,,待售,,"人车分流, 大型社区, 国央企, 品牌房企",,价格待定
颐德湾尚,南沙,明珠湾,建设一路（南沙体育馆北侧）,价格待定,,,待售,,"人车分流, 大型社区, 国央企, 品牌房企",,价格待定
嘉河湾8号,花都,铁路西,荔红北路8号,13000, 元/㎡(均价),总价125-300(万/套),在售,建面 96-149㎡,"低单价, 低总价, 车位充足, 绿化率高","2室, 3室","13000,  元/㎡(均价)"
品秀·星瀚,番禺,广州南站,番禺区石北工业路,31000, 元/㎡(均价),总价290-390(万/套),在售,建面 73-115㎡,"低总价, 车位充足, 人车分流, 国央企","2室, 3室, 4室","31000,  元/㎡(均价)"
嘉华广场,花都,镜湖大道,花都区迎宾大道185号（花都皇冠假日酒店旁）（地铁清塘站D出口）,13000, 元/㎡(均价),总价55-90(万/套),在售,建面 43-57㎡,"车位充足, 人车分流, 近地铁, 地铁沿线",1室,"13000,  元/㎡(均价)"
天马河·名荟,花都,铁路西,荔红南路2号,14500, 元/㎡(均价),总价53-90(万/套),在售,建面 47-79㎡,"低单价, 低总价, 小型社区, 封闭管理","1室, 2室","14500,  元/㎡(均价)"
富城华庭,增城,荔城增江,广汕公路增江小学西侧,9500, 元/㎡(均价),总价98-156(万/套),在售,建面 99-156㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室, 4室","9500,  元/㎡(均价)"
中铁诺德·阅泷,白云,江高镇,江高镇广花路430号,18000, 元/㎡(均价),总价132-260(万/套),在售,建面 79-129㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室, 4室","18000,  元/㎡(均价)"
品实·云湖花城,白云,石井,石沙路,33000, 元/㎡(均价),总价240-452(万/套),在售,建面 70-141㎡,"低总价, 绿化率高, 人车分流, 国央企","3室, 4室, 5室","33000,  元/㎡(均价)"
港航中心,黄埔,鱼珠,黄埔大道东983号,40000, 元/㎡(均价),总价270-621(万/套),在售,建面 60-138㎡,"绿化率高, 人车分流, 国央企, 品牌房企","2室, 3室","40000,  元/㎡(均价)"
时代印记,黄埔,知识城,广东省广州市黄埔区亨美西路,18000, 元/㎡(均价),总价155-245(万/套),在售,建面 87-136㎡,"低单价, 低总价, 绿化率高, 人车分流","3室, 4室","18000,  元/㎡(均价)"
珠光金融城壹号,天河,东圃,黄埔大道东724号,5000, 元/㎡(均价),总价3700-4000(万/套),在售,建面 232-261㎡,"低单价, 车位充足, 人车分流, 品牌房企","3室, 4室","5000,  元/㎡(均价)"
凯德凯荔花园,增城,荔城西区,明慧路3号,15500, 元/㎡(均价),总价140-225(万/套),在售,建面 86-134㎡,"车位充足, 人车分流, 品牌房企, 健身跑道","3室, 4室","15500,  元/㎡(均价)"
越秀逸泉锦翠,从化,江浦街,环市东路广外实验小学东侧,9500, 元/㎡(均价),总价79-105(万/套),在售,建面 71-92㎡,"低单价, 低总价, 绿化率高, 人车分流","3室, 4室","9500,  元/㎡(均价)"
中国铁建海语熙岸,南沙,南沙区府,广州市南沙区美心路中国铁建海语熙岸,30000, 元/㎡(均价),总价268-730(万/套),在售,建面 89-260㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室, 5室","30000,  元/㎡(均价)"
富力新城,黄埔,开发东区,黄埔区东鹏大道与宏明路交界处（富力新城销售中心）,25000, 元/㎡(均价),总价170-310(万/套),在售,建面 73-120㎡,"低单价, 低总价, 绿化率高, 人车分流","2室, 3室, 4室","25000,  元/㎡(均价)"
天河云商汇,天河,智慧城,华观路,29000, 元/㎡(均价),总价160-260(万/套),在售,建面 32-58㎡,"低总价, 人车分流, 封闭管理, 自持商业","1室, 3室","29000,  元/㎡(均价)"
珠光云山壹号,白云,同和,广州大道北云灏街157医院地块,100000, 元/㎡(均价),总价1700(万/套),在售,建面 215㎡,"车位充足, 绿化率高, 置换改善, 高品质小区",4室,"100000,  元/㎡(均价)"
加富花园,番禺,石碁,莲塘路3号,22000, 元/㎡(均价),总价189-259(万/套),在售,建面 51-118㎡,"低单价, 低总价, 低密居所, 人车分流","2室, 3室","22000,  元/㎡(均价)"
保利335金融中心,增城,凤凰城,汽车城大道57号,价格待定,,,待售,,"车位充足, 大型社区, 国央企, 品牌房企",,价格待定
龙光天瀛,番禺,市桥,景观大道东侧,26000, 元/㎡(均价),总价258-880(万/套),在售,建面 89-175㎡,"低单价, 低总价, 车位充足, 绿化率高","2室, 3室, 4室","26000,  元/㎡(均价)"
远洋芙蓉墅,花都,狮岭镇,狮岭镇芙蓉嶂度假区西南处,10000, 元/㎡(均价),总价59(万/套),在售,建面 75-133㎡,"低单价, 低总价, 车位充足, 绿化率高",1室,"10000,  元/㎡(均价)"
天颐华府,番禺,市桥北,富怡路罗家村段6号,65000, 元/㎡(均价),总价2000(万/套),在售,建面 262㎡,"车位充足, 绿化率高, 养老舒适, 休闲会所",,"65000,  元/㎡(均价)"
广州院子,增城,荔城增江,广州市增城区增江大埔围村张冚山顶,7800, 元/㎡(均价),总价72-120(万/套),在售,建面 95-140㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","7800,  元/㎡(均价)"
时代倾城（中新）,增城,中新镇,广州市增城区中新镇新墩路168号,13000, 元/㎡(均价),总价105-156(万/套),在售,建面 85-130㎡,"低单价, 人车分流, 大型社区, 品牌房企",3室,"13000,  元/㎡(均价)"
电建地产·洺悦玉府,番禺,市桥,禺山西路与景观大道交汇处大夫山森林公园东南侧（番禺气象局旁）,价格待定,,,待售,,"人车分流, 小型社区, 国央企, 品牌房企",,价格待定
电建地产·洺悦玉府,番禺,市桥,广州市番禺沙头街禺山大道南侧,22000, 元/㎡(均价),总价230-275(万/套),在售,建面 105-125㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","22000,  元/㎡(均价)"
五矿壹云台,黄埔,科学城,广州市黄埔区长岭居长岭路以北，领头新村以东,34000, 元/㎡(均价),总价460(万/套),在售,建面 81-164㎡,"车位充足, 绿化率高, 国央企, 品牌房企",,"34000,  元/㎡(均价)"
广州万科城,增城,永宁,广州市增城区永宁街道新新4路5号,10000, 元/㎡(均价),总价89-120(万/套),在售,建面 78-100㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","10000,  元/㎡(均价)"
雅居乐黄埔创新中心,黄埔,黄埔区府,丰乐北路段与碧山村路交汇处,价格待定,,,待售,,"低总价, 大型社区, 品牌房企, 贴心物业",,价格待定
雅居乐黄埔创新中心,黄埔,黄埔区府,丰乐北路段与碧山村路交汇处,价格待定,,,待售,,"低总价, 大型社区, 品牌房企, 贴心物业",,价格待定
凯德山海连城二期,番禺,莲花山,利丰大道连海路39号,24000, 元/㎡(均价),总价215-1100(万/套),在售,建面 85-211㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","24000,  元/㎡(均价)"
中交蓝色海湾,南沙,南沙港,港前大道南沙客运港对面,价格待定,,,待售,,"车位充足, 大型社区, 国央企, 品牌房企",,价格待定
星河东悦湾,南沙,黄阁,广东省广州市南沙区市南大道,32000, 元/㎡(均价),总价282-830(万/套),在售,建面 86-207㎡,"特价好房, 车位充足, 人车分流, 品牌房企","3室, 4室","32000,  元/㎡(均价)"
金湖花园,白云,沙太北,广东省广州市白云区沙太北路938号金湖花园会所,45000, 元/㎡(均价),总价420-690(万/套),在售,建面 98-143㎡,"绿化率高, 低密居所, 置换改善, 养老舒适","3室, 4室, 5室","45000,  元/㎡(均价)"
合锦嘉泓·天宇花园,南沙,金洲,广州市南沙区金岭北路东侧金岭北路7号,17000, 元/㎡(均价),总价180-240(万/套),在售,建面 90-215㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","17000,  元/㎡(均价)"
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,23000, 元/㎡(均价),总价400(万/套),在售,,"人车分流, 大型社区, 国央企, 品牌房企",,"23000,  元/㎡(均价)"
龙门苑,花都,新区,三东大道北石岗1-3号,价格待定,,,待售,,"车位充足, 绿化率高, 养老舒适, 地铁沿线",,价格待定
信达·珺悦蓝庭,花都,炭步,炭步镇花都大道巴江明珠公园旁,11000, 元/㎡(均价),总价78-120(万/套),在售,建面 78-113㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","11000,  元/㎡(均价)"
信达珺悦蓝庭,花都,炭步,炭步镇花都大道以东地块（原炭步广场）,价格待定,,,待售,,"大型社区, 国央企, 品牌房企, 公交直达",,价格待定
增城中国铁建国际公馆,增城,中新镇,地铁21号线坑贝站西侧1.2公里,11500, 元/㎡(均价),总价178-200(万/套),在售,建面 104-118㎡,"低单价, 低总价, 车位充足, 人车分流",4室,"11500,  元/㎡(均价)"
朗信国际,番禺,桥南,番禺大道北1686号,价格待定,,,待售,,"人车分流, 封闭管理, 贴心物业, 公交直达",,价格待定
中冶逸璟广场,海珠,江燕路,燕翔路和江燕路交界处（万宝大厦旁）,价格待定,,,待售,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
越秀华发·悦见星城,增城,中新镇,中新镇福中路16号,7200, 元/㎡(均价),总价65-76(万/套),在售,建面 78-101㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","7200,  元/㎡(均价)"
珠江·花屿花城,增城,永宁,新新大道中塔岗路段,11000, 元/㎡(均价),总价84-127(万/套),在售,建面 79-96㎡,"低单价, 低总价, 车位充足, 人车分流",4室,"11000,  元/㎡(均价)"
御溪世家,增城,中新镇,中新镇G324（福昆线）旁,13000, 元/㎡(均价),总价80-120(万/套),在售,建面 61-111㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室","13000,  元/㎡(均价)"
兰亭香麓,增城,荔城富鹏,荔景大道与增派公路交汇处（挂绿小学斜对面）,11800, 元/㎡(均价),总价130-150(万/套),在售,建面 88-111㎡,"低单价, 低总价, 车位充足, 人车分流",3室,"11800,  元/㎡(均价)"
东建·明德城,禅城,祖庙,广东省佛山市禅城区工业大道22号,22500, 元/㎡(均价),总价200-540(万/套),在售,建面 90-166㎡,"佛山楼盘, 人车分流, 大型社区, 品牌房企","3室, 4室","22500,  元/㎡(均价)"
滨江金茂悦,南海,罗村,南海区狮山镇罗村朗沙大道下罗沙旁,11000, 元/㎡(均价),总价135-280(万/套),在售,建面 88-143㎡,"佛山楼盘, 特价好房, 低单价, 绿化率高",4室,"11000,  元/㎡(均价)"
佳兆业·广雅院,南海,平洲,夏平路佳兆业·广雅院,20000, 元/㎡(均价),总价160-320(万/套),在售,建面 83-126㎡,"佛山楼盘, 人车分流, 大型社区, 品牌房企","3室, 4室","20000,  元/㎡(均价)"
经纬凯旋世家,鹤山市,鹤山市,广东省江门市鹤山市鹤山大道辅路,6500, 元/㎡(均价),总价63-100(万/套),在售,建面 96-134㎡,"楼盘, 人车分流, 大型社区, 公交直达","3室, 4室","6500,  元/㎡(均价)"
轩隆雅园,三水,北江新区,广东省佛山市三水区建设大道12号,9800, 元/㎡(均价),总价80-115(万/套),在售,建面 88-110㎡,"佛山楼盘, 特价好房, 低总价, 人车分流","2室, 3室","9800,  元/㎡(均价)"
五矿万境水岸,顺德,大良新区,广东省佛山市顺德区乔岸路和环湖路交叉口,18500, 元/㎡(均价),总价200-680(万/套),在售,建面 72-263㎡,"佛山楼盘, 车位充足, 绿化率高, 国央企","3室, 4室","18500,  元/㎡(均价)"
保利中海金地·大国璟,增城,荔城西区,广汕公路保利中海金地·大国璟增城大道471号,22000, 元/㎡(均价),总价100(万/套),待售,,"车位充足, 人车分流, 国央企, 品牌房企",,"22000,  元/㎡(均价)"
卓越晴翠府,番禺,桥南,广州市番禺区桥南联兴路28号,28000, 元/㎡(均价),总价200-385(万/套),在售,建面 76-130㎡,"低单价, 低总价, 车位充足, 人车分流","2室, 3室, 4室","28000,  元/㎡(均价)"
保利锦绣公馆,白云,南湖,大源南路84号,21000, 元/㎡(均价),总价70-110(万/套),待售,建面 33-50㎡,"绿化率高, 人车分流, 国央企, 品牌房企",,"21000,  元/㎡(均价)"
招商电建南国·雍云邸,白云,石井,广东省广州市白云区石沙路石井工业区八横路,25000, 元/㎡(均价),总价200-220(万/套),在售,建面 78-89㎡,"低单价, 绿化率高, 人车分流, 国央企","3室, 4室","25000,  元/㎡(均价)"
耀胜新世界广场·耀胜尊府,番禺,汉溪长隆,汉兴西路耀胜新世界广场,65000, 元/㎡(均价),总价500-730(万/套),在售,建面 77-132㎡,"特价好房, 车位充足, 人车分流, 品牌房企","3室, 4室, 5室","65000,  元/㎡(均价)"
徐福上坤云境风华,增城,朱村,朱村大道中徐福上坤云境风华,价格待定,,,待售,,"车位充足, 人车分流, 品牌房企, 近地铁",,价格待定
广州幸福湾,荔湾,东塱,汇盛路广州幸福湾,80000, 元/㎡(均价),总价2250-2650(万/套),在售,建面 255-285㎡,"车位充足, 绿化率高, 地铁沿线, 大平层","4室, 5室","80000,  元/㎡(均价)"
首铸·铂瑞云湾,番禺,石楼,莲港大道与庄园路交汇,24000, 元/㎡(均价),总价200-490(万/套),在售,建面 86-154㎡,"低单价, 低总价, 车位充足, 绿化率高","3室, 4室","24000,  元/㎡(均价)"
越秀星耀TOD,增城,新塘北,环城路越秀·星耀TOD,20000, 元/㎡(均价),总价200-250(万/套),在售,建面 100-125㎡,"车位充足, 人车分流, 近地铁, 地铁沿线","3室, 4室","20000,  元/㎡(均价)"
广州城投·禧悦府,增城,凤凰城,汽车城大道广州城投禧悦府,21000, 元/㎡(均价),总价265-410(万/套),在售,建面 89-146㎡,"车位充足, 人车分流, 国央企, 品牌房企","2室, 3室, 4室","21000,  元/㎡(均价)"
华润置地金沙瑞府,白云,金沙洲,广州市白云区金沙洲浔峰山东路西北侧,35000, 元/㎡(均价),总价495(万/套),在售,建面 143㎡,"绿化率高, 低密居所, 国央企, 置换改善",4室,"35000,  元/㎡(均价)"
建发明珠湾玺,南沙,明珠湾,凤凰大道凤凰二桥地铁18号线横沥站旁约250米处,31000, 元/㎡(均价),总价370-530(万/套),在售,建面 88-142㎡,"车位充足, 人车分流, 国央企, 品牌房企",4室,"31000,  元/㎡(均价)"
深业颐泽府,南沙,明珠湾,凤凰大道深业颐泽府,37000, 元/㎡(均价),总价340-1000(万/套),在售,建面 103-257㎡,"特价好房, 车位充足, 绿化率高, 国央企","4室, 5室","37000,  元/㎡(均价)"
华宇·锦绣云赋,从化,旧城区,从城大道华宇·锦绣云赋,15000, 元/㎡(均价),总价108-165(万/套),在售,建面 76-109㎡,"绿化率高, 人车分流, 品牌房企, 水系园林","3室, 4室","15000,  元/㎡(均价)"
金地景业格林水岸,增城,中新镇,新新大道北金地景业格林水岸,价格待定,,,待售,,"车位充足, 人车分流, 品牌房企, 公交直达",,价格待定
金地·云上,增城,中新镇,广东省广州市增城区S118(新新大道北),11000, 元/㎡(均价),总价80-145(万/套),在售,建面 60-104㎡,"低单价, 低总价, 人车分流, 大型社区",2室,"11000,  元/㎡(均价)"
悦辰壹号,黄埔,知识城,广东省广州市黄埔区Y079,24000, 元/㎡(均价),总价190-320(万/套),在售,建面 89-168㎡,"低单价, 低总价, 车位充足, 人车分流","3室, 4室","24000,  元/㎡(均价)"
国科众安江屿大观,番禺,市桥,广东省广州市番禺区 沙堤路600号,16800, 元/㎡(均价),总价65-600(万/套),在售,建面 39-195㎡,"车位充足, 人车分流, 品牌房企, 公交直达","2室, 3室, 4室","16800,  元/㎡(均价)"
振业学府里,增城,白江,南顺石场路13号,13500, 元/㎡(均价),总价100-155(万/套),在售,建面 75-107㎡,"低总价, 人车分流, 小型社区, 国央企","3室, 4室","13500,  元/㎡(均价)"
珠江博悦庭,增城,增城碧桂园,新城大道珠江博悦庭,价格待定,,,待售,,"人车分流, 大型社区, 品牌房企, 小户型",,价格待定
