标题,地区,位置,具体位置,resblock-tag1 resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
中交蓝色海湾,南沙,南沙港,港前大道南沙客运港对面,"车位充足, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
星河东悦湾,南沙,黄阁,广东省广州市南沙区市南大道,"特价好房, 车位充足, 人车分流, 品牌房企",32000,总价282-830(万/套),在售,"3室, 4室",建面 86-207㎡
金湖花园,白云,沙太北,广东省广州市白云区沙太北路938号金湖花园会所,"绿化率高, 低密居所, 置换改善, 养老舒适",45000,总价420-690(万/套),在售,"3室, 4室, 5室",建面 98-143㎡
合锦嘉泓·天宇花园,南沙,金洲,广州市南沙区金岭北路东侧金岭北路7号,"低单价, 低总价, 车位充足, 人车分流",17000,总价180-240(万/套),在售,"3室, 4室",建面 90-215㎡
中交汇通中心,南沙,明珠湾,江灵北路和纵三路交汇处,"人车分流, 大型社区, 国央企, 品牌房企",23000,总价400(万/套),在售,,
龙门苑,花都,新区,三东大道北石岗1-3号,"车位充足, 绿化率高, 养老舒适, 地铁沿线",价格待定,,待售,,
信达·珺悦蓝庭,花都,炭步,炭步镇花都大道巴江明珠公园旁,"低单价, 低总价, 车位充足, 人车分流",11000,总价78-120(万/套),在售,"3室, 4室",建面 78-113㎡
信达珺悦蓝庭,花都,炭步,炭步镇花都大道以东地块（原炭步广场）,"大型社区, 国央企, 品牌房企, 公交直达",价格待定,,待售,,
增城中国铁建国际公馆,增城,中新镇,地铁21号线坑贝站西侧1.2公里,"低单价, 低总价, 车位充足, 人车分流",11500,总价178-200(万/套),在售,4室,建面 104-118㎡
朗信国际,番禺,桥南,番禺大道北1686号,"人车分流, 封闭管理, 贴心物业, 公交直达",价格待定,,待售,,
中冶逸璟广场,海珠,江燕路,燕翔路和江燕路交界处（万宝大厦旁）,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
越秀华发·悦见星城,增城,中新镇,中新镇福中路16号,"低单价, 低总价, 车位充足, 人车分流",7200,总价65-76(万/套),在售,"3室, 4室",建面 78-101㎡
珠江·花屿花城,增城,永宁,新新大道中塔岗路段,"低单价, 低总价, 车位充足, 人车分流",11000,总价84-127(万/套),在售,4室,建面 79-96㎡
御溪世家,增城,中新镇,中新镇G324（福昆线）旁,"低单价, 低总价, 车位充足, 人车分流",13000,总价80-120(万/套),在售,"2室, 3室",建面 61-111㎡
兰亭香麓,增城,荔城富鹏,荔景大道与增派公路交汇处（挂绿小学斜对面）,"低单价, 低总价, 车位充足, 人车分流",11800,总价130-150(万/套),在售,3室,建面 88-111㎡
东建·明德城,禅城,祖庙,广东省佛山市禅城区工业大道22号,"佛山楼盘, 人车分流, 大型社区, 品牌房企",22500,总价200-540(万/套),在售,"3室, 4室",建面 90-166㎡
滨江金茂悦,南海,罗村,南海区狮山镇罗村朗沙大道下罗沙旁,"佛山楼盘, 特价好房, 低单价, 绿化率高",11000,总价135-280(万/套),在售,4室,建面 88-143㎡
佳兆业·广雅院,南海,平洲,夏平路佳兆业·广雅院,"佛山楼盘, 人车分流, 大型社区, 品牌房企",20000,总价160-320(万/套),在售,"3室, 4室",建面 83-126㎡
经纬凯旋世家,鹤山市,鹤山市,广东省江门市鹤山市鹤山大道辅路,"楼盘, 人车分流, 大型社区, 公交直达",6500,总价63-100(万/套),在售,"3室, 4室",建面 96-134㎡
轩隆雅园,三水,北江新区,广东省佛山市三水区建设大道12号,"佛山楼盘, 特价好房, 低总价, 人车分流",9800,总价80-115(万/套),在售,"2室, 3室",建面 88-110㎡
五矿万境水岸,顺德,大良新区,广东省佛山市顺德区乔岸路和环湖路交叉口,"佛山楼盘, 车位充足, 绿化率高, 国央企",18500,总价200-680(万/套),在售,"3室, 4室",建面 72-263㎡
保利中海金地·大国璟,增城,荔城西区,广汕公路保利中海金地·大国璟增城大道471号,"车位充足, 人车分流, 国央企, 品牌房企",22000,总价100(万/套),待售,,
卓越晴翠府,番禺,桥南,广州市番禺区桥南联兴路28号,"低单价, 低总价, 车位充足, 人车分流",28000,总价200-385(万/套),在售,"2室, 3室, 4室",建面 76-130㎡
保利锦绣公馆,白云,南湖,大源南路84号,"绿化率高, 人车分流, 国央企, 品牌房企",21000,总价70-110(万/套),待售,,建面 33-50㎡
招商电建南国·雍云邸,白云,石井,广东省广州市白云区石沙路石井工业区八横路,"低单价, 绿化率高, 人车分流, 国央企",25000,总价200-220(万/套),在售,"3室, 4室",建面 78-89㎡
耀胜新世界广场·耀胜尊府,番禺,汉溪长隆,汉兴西路耀胜新世界广场,"特价好房, 车位充足, 人车分流, 品牌房企",65000,总价500-730(万/套),在售,"3室, 4室, 5室",建面 77-132㎡
徐福上坤云境风华,增城,朱村,朱村大道中徐福上坤云境风华,"车位充足, 人车分流, 品牌房企, 近地铁",价格待定,,待售,,
广州幸福湾,荔湾,东塱,汇盛路广州幸福湾,"车位充足, 绿化率高, 地铁沿线, 大平层",80000,总价2250-2650(万/套),在售,"4室, 5室",建面 255-285㎡
首铸·铂瑞云湾,番禺,石楼,莲港大道与庄园路交汇,"低单价, 低总价, 车位充足, 绿化率高",24000,总价200-490(万/套),在售,"3室, 4室",建面 86-154㎡
越秀星耀TOD,增城,新塘北,环城路越秀·星耀TOD,"车位充足, 人车分流, 近地铁, 地铁沿线",20000,总价200-250(万/套),在售,"3室, 4室",建面 100-125㎡
广州城投·禧悦府,增城,凤凰城,汽车城大道广州城投禧悦府,"车位充足, 人车分流, 国央企, 品牌房企",21000,总价265-410(万/套),在售,"2室, 3室, 4室",建面 89-146㎡
华润置地金沙瑞府,白云,金沙洲,广州市白云区金沙洲浔峰山东路西北侧,"绿化率高, 低密居所, 国央企, 置换改善",35000,总价495(万/套),在售,4室,建面 143㎡
建发明珠湾玺,南沙,明珠湾,凤凰大道凤凰二桥地铁18号线横沥站旁约250米处,"车位充足, 人车分流, 国央企, 品牌房企",31000,总价370-530(万/套),在售,4室,建面 88-142㎡
深业颐泽府,南沙,明珠湾,凤凰大道深业颐泽府,"特价好房, 车位充足, 绿化率高, 国央企",37000,总价340-1000(万/套),在售,"4室, 5室",建面 103-257㎡
华宇·锦绣云赋,从化,旧城区,从城大道华宇·锦绣云赋,"绿化率高, 人车分流, 品牌房企, 水系园林",15000,总价108-165(万/套),在售,"3室, 4室",建面 76-109㎡
金地景业格林水岸,增城,中新镇,新新大道北金地景业格林水岸,"车位充足, 人车分流, 品牌房企, 公交直达",价格待定,,待售,,
金地·云上,增城,中新镇,广东省广州市增城区S118(新新大道北),"低单价, 低总价, 人车分流, 大型社区",11000,总价80-145(万/套),在售,2室,建面 60-104㎡
悦辰壹号,黄埔,知识城,广东省广州市黄埔区Y079,"低单价, 低总价, 车位充足, 人车分流",24000,总价190-320(万/套),在售,"3室, 4室",建面 89-168㎡
国科众安江屿大观,番禺,市桥,广东省广州市番禺区 沙堤路600号,"车位充足, 人车分流, 品牌房企, 公交直达",16800,总价65-600(万/套),在售,"2室, 3室, 4室",建面 39-195㎡
振业学府里,增城,白江,南顺石场路13号,"低总价, 人车分流, 小型社区, 国央企",13500,总价100-155(万/套),在售,"3室, 4室",建面 75-107㎡
珠江博悦庭,增城,增城碧桂园,新城大道珠江博悦庭,"人车分流, 大型社区, 品牌房企, 小户型",价格待定,,待售,,
越秀联投知识城·居山涧,黄埔,知识城,广州黄埔知识城凤凰湖旁,"绿化率高, 低密居所, 国央企, 置换改善",46000,总价650-1050(万/套),在售,4室,建面 140-190㎡
中洲紫轩,黄埔,鱼珠,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,"车位充足, 人车分流, 品牌房企, 近地铁",50000,总价420-950(万/套),在售,"3室, 4室, 5室",建面 83-169㎡
万科黄埔新城,黄埔,南岗,南岗街沙步大路2号,"低总价, 绿化率高, 人车分流, 国央企",33000,总价235-500(万/套),在售,"3室, 4室",建面 75-143㎡
广州城投领南府,番禺,广州南站,石洲中路广州城投领南府,"低总价, 车位充足, 绿化率高, 国央企",32000,总价294-510(万/套),在售,"2室, 3室",建面 98-143㎡
云裳峯尚,白云,同和,白云区白水塘文明路1号,"车位充足, 人车分流, 品牌房企, 休闲会所",55000,总价562-800(万/套),在售,"3室, 4室",建面 78-133㎡
侨鑫保利汇景台,天河,汇景新城,科韵北路23号,"车位充足, 绿化率高, 置换改善, 高品质小区",136000,总价2400-4060(万/套),在售,"4室, 5室",建面 173-290㎡
金科景业·雍景园,增城,中新镇,坑贝地铁站B口东100米,"低总价, 车位充足, 人车分流, 品牌房企",24500,总价70-125(万/套),待售,1室,建面 36-86㎡
保利天汇,天河,黄村,大观中路保利天汇,"车位充足, 人车分流, 国央企, 品牌房企",55000,总价616(万/套),在售,1室,建面 112㎡
越秀·大学·星汇城,番禺,国际创新城,广州市番禺区新造镇曾边大街66号,"低总价, 车位充足, 绿化率高, 国央企",38000,总价325-550(万/套),在售,"3室, 4室, 5室",建面 88-125㎡
保利珑悦,增城,永宁,广州市增城区创业大道,"低单价, 低总价, 车位充足, 人车分流",12000,总价85-142(万/套),在售,"2室, 3室",建面 77-105㎡
飞晟汇,黄埔,香雪,广州市黄埔区科学城开创大道彩文路166号,"车位充足, 近地铁, 地铁沿线, loft",21800,总价185-1822(万/套),在售,"1室, 4室, 5室",建面 120-750㎡
路劲星棠,增城,白江,东洲大道路劲星棠,"车位充足, 人车分流, 品牌房企, 地铁沿线",16000,总价128-150(万/套),在售,"2室, 4室",建面 78-95㎡
知识城投资嘉达·山与墅,黄埔,知识城,广东省广州市黄埔区Y079与长庚北街交叉路口往西约200米,"车位充足, 绿化率高, 国央企, 置换改善",45000,总价600-900(万/套),在售,"3室, 4室",建面 166-175㎡
远洋天成,增城,新塘北,广东省广州市增城区石新路,"人车分流, 小型社区, 国央企, 地铁沿线",16500,总价118-180(万/套),在售,"3室, 4室",建面 69-107㎡
广晟中国铁建花语天珹,花都,花城街,黄槐路广晟中铁建花语天珹,"车位充足, 绿化率高, 国央企, 品牌房企",21000,总价160-480(万/套),在售,"2室, 3室, 4室",建面 88-188㎡
金地商置都会峯范,花都,铁路西,新街大道100号,"低总价, 车位充足, 人车分流, 品牌房企",16500,总价130-230(万/套),在售,"2室, 3室",建面 81-125㎡
中建凤榕台,增城,朱村,广东省广州市增城区福昆线辅路,"人车分流, 大型社区, 国央企, 品牌房企",23000,总价154-236(万/套),在售,"3室, 4室",建面 67-103㎡
中铁建信达花语天宸,黄埔,科学城,广汕公路与班岭路交叉西南420米,"车位充足, 人车分流, 国央企, 品牌房企",41000,总价420-800(万/套),在售,"3室, 4室",建面 97-168㎡
中盛顺和家园,增城,荔城增江,广汕公路中盛顺和家园,"低单价, 低总价, 车位充足, 人车分流",12000,总价115-205(万/套),在售,"3室, 4室",建面 83-143㎡
中旅名门府,花都,镜湖大道,G107中旅名门府,"低总价, 车位充足, 绿化率高, 国央企",18500,总价150-250(万/套),在售,"2室, 3室",建面 80-116㎡
方圆滨江壹号,海珠,客村,海珠区艺景路与友邻三路交叉口南120米,"绿化率高, 人车分流, 品牌房企, 近地铁",90000,总价700-1580(万/套),在售,"3室, 4室",建面 90-132㎡
翰盛府,番禺,汉溪长隆,汉兴西路锦绣香江拾光盛境,"绿化率高, 低密居所, 置换改善, 高品质小区",80000,总价430-1700(万/套),在售,"3室, 4室",建面 78-215㎡
中海保利朗阅,荔湾,西朗,广东省广州市荔湾区,"车位充足, 绿化率高, 国央企, 品牌房企",50000,总价490-1050(万/套),在售,"2室, 3室, 4室",建面 98-182㎡
珠江未来城,番禺,莲花山,广东省广州市番禺区石楼镇胜洲村龙启路80号,"低单价, 低总价, 绿化率高, 人车分流",11000,总价40-95(万/套),在售,"1室, 2室",建面 36-68㎡
星河畔月湾,南沙,横沥,新广一路星河畔月湾,"低单价, 低总价, 车位充足, 绿化率高",20000,总价160-260(万/套),在售,"3室, 4室",建面 80-126㎡
振业天成,黄埔,科学城,广州市黄埔区联和街黄陂四路,"车位充足, 绿化率高, 国央企, 品牌房企",39000,总价498-800(万/套),在售,4室,建面 104-168㎡
绿城桂语汀澜,南沙,明珠湾,广州市南沙区横沥镇沥岛三多涌以东、义沙路以西、横沥大道东以南,"车位充足, 绿化率高, 国央企, 品牌房企",28000,总价260-406(万/套),在售,4室,建面 99-140㎡
琶洲南TOD,海珠,赤岗,广东省广州市海珠区,"车位充足, 人车分流, 国央企, 品牌房企",125000,总价2500-3500(万/套),在售,"3室, 4室, 5室",建面 142-276㎡
招商湾区1872,南沙,东涌,南沙庆盛港科大广州校区旁,"低单价, 低总价, 车位充足, 人车分流",22000,总价170-230(万/套),在售,"3室, 4室",建面 79-105㎡
海语天悦湾,南沙,明珠湾,凤凰大道越秀中国铁建南投海语天悦湾,"车位充足, 绿化率高, 国央企, 品牌房企",28000,总价230-460(万/套),在售,"2室, 3室",建面 80-142㎡
国贸学原,增城,荔城西区,广汕公路国贸学原,"低单价, 低总价, 人车分流, 大型社区",12600,总价88-180(万/套),在售,"2室, 3室, 4室",建面 76-128㎡
星河江缦,荔湾,滘口,广东省广州市荔湾区滘口大街与鹅潭路交叉口西北,"车位充足, 绿化率高, 品牌房企, 近地铁",70000,总价900-2000(万/套),在售,4室,建面 179-235㎡
公交珠实花城云著,白云,夏茅,广花一路公交珠实花城云著,"低总价, 车位充足, 人车分流, 国央企",35000,总价249-320(万/套),在售,"3室, 4室",建面 69-87㎡
中海江泰里,海珠,江燕路,海珠区凤阳街江泰路36号,"绿化率高, 人车分流, 国央企, 品牌房企",65000,总价520-730(万/套),在售,"3室, 4室",建面 75-105㎡
保利水木芳华,增城,朱村,朱村大道西保利水木芳华,"低单价, 低总价, 人车分流, 大型社区",12000,总价100-164(万/套),在售,"1室, 2室",建面 67-103㎡
保利领秀海,番禺,莲花山,广州市番禺区石楼镇鲤鱼岗9号名人山庄,"低单价, 低总价, 绿化率高, 人车分流",22000,总价120-480(万/套),在售,"3室, 4室",建面 63-170㎡
云麓花城,白云,太和,白云城投云麓花城，太和镇沙亭北路南侧地块,"低单价, 低总价, 车位充足, 人车分流",23000,总价154-240(万/套),在售,"3室, 4室",建面 67-97㎡
电建都汇府,花都,新区,广东省广州市花都区迎宾大道,"车位充足, 人车分流, 国央企, 品牌房企",36000,总价430-730(万/套),在售,"3室, 4室",建面 120-190㎡
金地公园名著,增城,永宁,广东省广州市增城区新新公路与创盈路交叉口西南140米,"低单价, 低总价, 车位充足, 人车分流",11000,总价75-100(万/套),在售,"2室, 3室",建面 69-106㎡
广州滨江上都璇湾,荔湾,鹤洞,芳村大道南广州滨江上都,"车位充足, 绿化率高, 品牌房企, 多轨交汇",125000,总价1312.5-2125(万/套),在售,"2室, 3室, 4室",建面 105-355㎡
中海映澜台,海珠,工业大道南,新业路中海映澜台,"车位充足, 人车分流, 国央企, 品牌房企",110000,总价2200-2900(万/套),在售,"4室, 5室",建面 141-246㎡
保利湖光悦色,海珠,赤岗,华洲路保利湖光悦色,"车位充足, 绿化率高, 国央企, 品牌房企",75000,总价850-1700(万/套),在售,4室,建面 120-200㎡
中洲紫轩,黄埔,鱼珠,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,"低总价, 车位充足, 人车分流, 品牌房企",35000,总价156-550(万/套),待售,,建面 41-115㎡
