标题,地区,位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
美的江上沄启,南沙,明珠湾,售罄,27000,4室,108.0,"人车分流, 封闭管理, 品牌房企, 公交直达",100.0,10.203592144986466,4.605170185988092,4.68213122712422
富豪山庄·领峰,番禺,富豪山庄,售罄,30000,1室,80.0,"车位充足, 低密居所, 地铁沿线, 公交直达",159.0,10.308952660644293,5.0689042022202315,4.382026634673881
越秀·星汇文玺,番禺,国际创新城,售罄,38000,4室,108.0,"人车分流, 封闭管理, 国央企, 品牌房企",90.0,10.545341438708522,4.499809670330265,4.68213122712422
中建玖玥湾,南沙,南沙港,售罄,17000,2室,51.5,"绿化率高, 人车分流, 国央企, 品牌房企",76.0,9.740968623038354,4.330733340286331,3.9415818076696905
富力新城,黄埔,开发东区,售罄,43000,1室,76.0,"人车分流, 大型社区, 地铁沿线, 公交直达",355.0,10.668955394675699,5.872117789475416,4.330733340286331
琶洲One57,海珠,磨碟沙,售罄,55000,2室,50.5,"人车分流, 小型社区, 国央企, 品牌房企",230.0,10.915088464214607,5.438079308923196,3.9219733362813143
亿凯创智汇,白云,太和,售罄,14000,3室,64.0,"小型社区, 地铁沿线, 公交直达, 已交房1年内",50.0,9.546812608597396,3.912023005428146,4.1588830833596715
保利罗兰国际（商业）,黄埔,科学城,售罄,40000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",350.0,10.596634733096073,5.857933154483459,4.68213122712422
禧都华庭,花都,铁路西,售罄,28000,1室,40.0,"人车分流, 小型社区, 品牌房企, 近地铁",114.0,10.239959789157341,4.736198448394496,3.6888794541139363
金地云上,增城,中新镇,售罄,20000,4室,108.0,"车位充足, 人车分流, 品牌房企, 地铁沿线",95.0,9.903487552536127,4.553876891600541,4.68213122712422
星樾山畔TOD,黄埔,科学城,售罄,40000,4室,108.0,"车位充足, 人车分流, 国央企, 品牌房企",200.0,10.596634733096073,5.298317366548036,4.68213122712422
禧都华庭,花都,铁路西,售罄,28000,1室,40.0,"人车分流, 小型社区, 品牌房企, 地铁沿线",114.0,10.239959789157341,4.736198448394496,3.6888794541139363
保利雅郡,荔湾,广钢新城,售罄,45000,4室,89.0,"绿化率高, 人车分流, 国央企, 品牌房企",398.0,10.714417768752456,5.986452005284438,4.48863636973214
龙光·玖龙湖,四会,大旺,售罄,6500,2室,58.5,"楼盘, 人车分流, 大型社区, 品牌房企",30.0,8.779557455883728,3.4011973816621555,4.069026754237811
保利爱乐小镇,四会市,大旺广场,售罄,5800,3室,107.0,"楼盘, 人车分流, 大型社区, 国央企",50.0,8.66561319653451,3.912023005428146,4.672828834461906
龙光玖誉城,鼎湖区,鼎湖,售罄,9300,3室,101.5,"楼盘, 人车分流, 大型社区, 品牌房企",90.0,9.137769679141348,4.499809670330265,4.620058798481842
碧桂园明珠花园,四会,大旺,售罄,5500,3室,92.5,"楼盘, 绿化率高, 人车分流, 品牌房企",50.0,8.612503371220562,3.912023005428146,4.52720864451838
恒大名都,四会,大旺,售罄,6400,4室,120.0,"楼盘, 人车分流, 大型社区, 品牌房企",50.0,8.764053269347762,3.912023005428146,4.787491742782046
